EID,Xvalue,Yvalue,Zvalue,time
18275,-5.902904510498048,-7.023390769958496,-0.969651699066162,2017-04-14 20:28:31.261
18276,-6.300341606140138,-7.144298076629639,-0.586579442024231,2017-04-14 20:28:31.271
18277,-6.531382083892822,-7.420828342437744,-0.2992752194404602,2017-04-14 20:28:31.281
18278,-6.799532890319824,-7.655459880828857,-0.22266076505184174,2017-04-14 20:28:31.291
18279,-7.100005149841309,-7.794323444366455,-0.2944868206977844,2017-04-14 20:28:31.301
18280,-7.0772600173950195,-7.8122801780700675,-0.5662286877632141,2017-04-14 20:28:31.311
18281,-6.613982200622559,-7.848193168640138,-0.8678981065750122,2017-04-14 20:28:31.321
18282,-5.852625846862793,-7.696161270141602,-0.629675030708313,2017-04-14 20:28:31.331
18283,-5.681440830230713,-8.17380428314209,0.3627215623855591,2017-04-14 20:28:31.341
18284,-5.953182697296143,-9.162610054016113,1.158793568611145,2017-04-14 20:28:31.350
18285,-5.8861451148986825,-9.494206428527832,1.5909470319747925,2017-04-14 20:28:31.360
18286,-5.728127479553223,-9.224859237670898,1.6807296276092532,2017-04-14 20:28:31.371
18287,-6.215347766876223,-9.027337074279783,1.7549498081207275,2017-04-14 20:28:31.381
18288,-7.162254333496094,-9.036913871765137,1.6651673316955566,2017-04-14 20:28:31.391
18289,-8.127118110656737,-9.100360870361328,1.3515268564224243,2017-04-14 20:28:31.401
18290,-8.773551940917969,-9.228450775146484,0.669179379940033,2017-04-14 20:28:31.412
18291,-9.494206428527832,-9.637859344482422,-0.5494692921638489,2017-04-14 20:28:31.421
18292,-10.163386344909668,-9.895236015319824,-1.8052281141281128,2017-04-14 20:28:31.432
18293,-11.152191162109377,-9.566033363342283,-2.009932279586792,2017-04-14 20:28:31.441
18294,-12.199654579162598,-8.927978515625,-1.2030863761901855,2017-04-14 20:28:31.451
18295,-12.963404655456545,-8.582015991210938,-0.690727174282074,2017-04-14 20:28:31.461
18296,-12.29662036895752,-8.56884765625,-1.1444283723831177,2017-04-14 20:28:31.472
18297,-10.4542818069458,-8.889671325683594,-1.8758569955825808,2017-04-14 20:28:31.482
18298,-8.683769226074219,-9.229647636413574,-2.100912094116211,2017-04-14 20:28:31.492
18299,-7.443572998046875,-9.301473617553713,-2.58813214302063,2017-04-14 20:28:31.503
18300,-6.4834980964660645,-9.123106002807617,-3.4320881366729736,2017-04-14 20:28:31.512
18301,-6.166266441345215,-9.119514465332033,-4.368220806121826,2017-04-14 20:28:31.521
18302,-6.581660270690918,-9.495404243469238,-4.935647010803223,2017-04-14 20:28:31.531
18303,-7.29034423828125,-10.348937034606934,-4.620809078216553,2017-04-14 20:28:31.541
18304,-7.9451584815979,-12.008118629455565,-3.5182793140411377,2017-04-14 20:28:31.551
18305,-7.158663272857666,-13.669694900512695,-1.7741034030914309,2017-04-14 20:28:31.561
18306,-5.590460777282715,-15.043966293334961,-0.04429273307323457,2017-04-14 20:28:31.571
18307,-4.156333923339844,-16.06150245666504,1.0187327861785889,2017-04-14 20:28:31.581
18308,-3.398569345474243,-16.16086196899414,1.2533645629882812,2017-04-14 20:28:31.591
18309,-2.1703438758850098,-15.277400970458984,1.3754688501358032,2017-04-14 20:28:31.601
18310,-1.0749965906143188,-14.495694160461426,1.0690110921859741,2017-04-14 20:28:31.611
18311,-1.1252747774124146,-13.761871337890625,0.7218518257141113,2017-04-14 20:28:31.621
18312,-1.4652514457702637,-12.015301704406738,1.622071623802185,2017-04-14 20:28:31.632
18313,-3.162740468978882,-10.378864288330078,5.200206279754639,2017-04-14 20:28:31.641
18314,-4.729745388031006,-8.99621295928955,5.383362293243408,2017-04-14 20:28:31.651
18315,-4.242525577545166,-7.514202117919923,3.4392707347869886,2017-04-14 20:28:31.661
18316,-6.477512836456299,-6.885724067687987,0.31603461503982544,2017-04-14 20:28:31.672
18317,-8.763975143432617,-7.4567413330078125,-3.049015760421753,2017-04-14 20:28:31.682
18318,-8.44434928894043,-7.384915351867676,-4.3179426193237305,2017-04-14 20:28:31.691
18319,-5.744886875152588,-6.914454460144043,-2.039859771728516,2017-04-14 20:28:31.701
